swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0000055d9aee218e09e1f9bcd6761ab8b0fd8711,6e9fa0a9e9f168433d8c2aa55809c13a6a3aefa9,87,6e,v-latest-base-f6aa1d-1137282590529556480,jupyter-web-app/v-latest-base-f6aa1d-1137282590529556480
swh:1:cnt:000005605ff799c04066585fe4e130a78324b697,d2f80414a05a346ffb2abf0639257452bac37319,14399,d2,persistence.properties,resources/persistence.properties
swh:1:cnt:00000567732f2d3ad49c227152e63629a0d350d4,c98584e66cc68f688d31ee9989d4cc20c6bf081a,12892,c9,m,m
swh:1:cnt:0000056ce637db51fb54b7ac57fa700aa52e8d04,25164d4401124ebddb1dc63f95f69c675440f354,2216,25,Craig_Fairbrass.html,people/Craig_Fairbrass.html
swh:1:cnt:000005733472619deb52893b1703ce26b5da71a0,c89ee4816a4b79b4623e5af4401956ea3d452211,25666,c8,index.html,wx-html/index.html
swh:1:cnt:00000574aad8b320d79a09dacf2e62c40651883e,211f71948278181a895559e8031f18cdbd2744e0,10517,21,P_Google_GData_Spreadsheets_WorksheetEntry_ColCount.htm,folder42/P_Google_GData_Spreadsheets_WorksheetEntry_ColCount.htm
swh:1:cnt:0000057d9553e3619599c79ab99d15a343f79aff,6b86185515216dbb517be57d4f71725a34f0e753,35786,6b,index.html,_header/index.html
swh:1:cnt:0000057edb98f22444361d80063c16433ceee565,7c05c2212c3c91ae219670eb5441f30e3f043f37,15435,7c,power-bi-custom-visuals-certified.md,powerbi-docs/power-bi-custom-visuals-certified.md
swh:1:cnt:0000057f9261fc12eabefc1fcc6cb9ea4b0af453,4ee766291ab5413cb5c40e8d3419322f8e873f0d,7644,4e,block_diagonal_lazy_tensor.py,lazy/block_diagonal_lazy_tensor.py
swh:1:cnt:0000058b310d3b3dd5c0ea8f9c38134bf1f861f0,8e2b634f230709217e4ebe01186222365db9c749,27310,8e,ndio.ramon.html,html/ndio.ramon.html
swh:1:cnt:0000058d264b76ace5b6f64a28df3ad8e6f151be,5909d3e6dbb98c895221ea3a5f92f63edd793040,628,59,fr_GN.txt,curr/fr_GN.txt
swh:1:cnt:0000058eda19725001cd0858ed8aaf09a1d88b5f,b6cb108ab087346c507907e465b75f2c128be813,686,b6,package.json,zent-alert/package.json
swh:1:cnt:00000592518a8b9ecf506e09899b07f9d8732ded,390ad847d105ccb2c898a3e314c5af74520f43b2,23,39,799635.txt,799635.txt
swh:1:cnt:00000596a93c7b1b77d7d70ddf812843d8c42ff2,68e63c386206bda4b9ae47613e3003e26cf1426f,308698,68,CMakeLists.txt,app/CMakeLists.txt
swh:1:cnt:000005973a84f7f26d1c716dff5e224b53fc28c5,de1490bfde1dd00669842bb52da1717bdb3020a7,9985,de,StatsStore.java,stats/StatsStore.java
swh:1:cnt:00000599e5515af4cca105cda334f6546b394efa,fba2b1767737d36eb9843253304445d621b0d127,2683,fb,Downloads.md,docs/Downloads.md
swh:1:cnt:0000059de4785776c600edf8f951ad22cf35f318,ca031f6f06981711ea226c16a9ad5b5f99d47bb9,1076,ca,Section_3660.html,38_es_herramienta-de-antecedentes-familiares/Section_3660.html
swh:1:cnt:0000059e87263679a57b6a919df8db2ef5a3e176,f76a350966acf10a3fcdeea730dd1bfb3d33107b,47460,f7,application_helper.rb,helpers/application_helper.rb
swh:1:cnt:0000059ebbb726560b0d0449e8789f9c7ce1435b,ea5fc3e1cb0e7e080afd1cfc1a8c8c73d5b49e07,2022,ea,how-to-programmatically-delete-appointments.md,vsto/how-to-programmatically-delete-appointments.md
swh:1:cnt:000005a2685adaf911105297abef0a5f1b134a26,1f423d0b18395c50223d0a3957ce90c004c821e3,23098,1f,3511926.btg.gz,e034s01/3511926.btg.gz
swh:1:cnt:000005acde8b398593c2473c2bd4643cd22b2223,e0daa7469c7decd252e0e0ba93e97208c7c058af,14995,e0,markGroupContributions.scala.html,group/markGroupContributions.scala.html
swh:1:cnt:000005b121e7acb713616924d85be34a1cf163b6,e9268c0e93542960d851eb044daec584fba003df,158,e9,L1.json,data/L1.json
swh:1:cnt:000005b1da38bf3268ff04519668e57e54c47e39,0fe3db03d7443b6499a9e6148875e3f928624fca,1263,0f,m,m
swh:1:cnt:000005b82a5c47aa3589d59e0f860bfe4df32e1c,732f9143b447d77e574a26d84cc0828fa118ce54,313256,73,function_namespaceat_1a6604d244cb963127e409b0da19ab020d.html,api/function_namespaceat_1a6604d244cb963127e409b0da19ab020d.html
swh:1:cnt:000005c42d051df82a0a299e21e65f79b9c7836c,22e476b247061e16eb4458069080f2658a48b2bc,3560,22,AbstractBeanType.java,type/AbstractBeanType.java
swh:1:cnt:000005c574a386163af9d78ff29774deb86d44ee,401d23378232b164f0f135d5cd5fb3cc25e834f8,432764,40,TermRef.html,Types$/TermRef.html
swh:1:cnt:000005c58f6fd5bd25805c0fb386a6a75353db40,bc7029d58f3e01f5b192756f7821a80e33abb0c9,60125,bc,evm.v,evm.v
swh:1:cnt:000005c69e8cebfbc0c61db7c9e4f5a95729cc66,cb6a3f551a4137cdc3c5024600807ec5668baeb9,2464,cb,intune_apps_managedandroidstoreapp_list.md,api/intune_apps_managedandroidstoreapp_list.md
swh:1:cnt:000005cc6d32485d69fc61480c6ff42ad8e6379d,c3ad61501293ae1779783824c65fac8739727624,3084,c3,index.js,mooc-footer/index.js
swh:1:cnt:000005d5dae04d5003543645d21715844d979bc2,3bc43124df428c142d9a61f678fe69eda28cc59c,505,3b,dialog_button_background_2.png,drawable-mdpi/dialog_button_background_2.png
