swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0003a211b28211a4e451f898b14fc99841048c36,0cc246ea3e921d470299737c45fda42fd1903b25,38,0c,template_serialization.cpp,typemapgenerator/template_serialization.cpp
swh:1:cnt:0003a228749d128131445f5c8a0d55b37486f7cc,0d6b8849e79cc08ff6d66a83a98548faff4904af,62965,0d,scene.cpp,src/scene.cpp
swh:1:cnt:0003a2954190644571c0919b447864ce564c0070,c1fd9a0de059ebc4bb2ebda8c91883e68c3bf04a,1337,c1,logging.cpp,src/logging.cpp
swh:1:cnt:0003a36cb6d65e9be18ba32112f73a9fb23cfd94,be49ecd1afcb70d30a0de814f472ac0fc2b48812,37386,be,MediaResource.cpp,media/MediaResource.cpp
swh:1:cnt:0003a387bd96edfe800de44092bd151c61c6930b,f8eb2ef308fe579872b1763ff42616a5b3d5fc38,44330,f8,cook.c,libavcodec/cook.c
swh:1:cnt:0003a3d150702672daf2c745a964c2c52431177b,c18df34cc5e9ce97cf4a2f5fcb18e434ed4f7409,2451,c1,testsuite.h,tests/testsuite.h
swh:1:cnt:0003a3e40a9bc9a1bd9cb40b88ad50380928e345,6e79271b01e1528f5cbb9abb69b4e1d6361d385d,1423,6e,constellation.h,src/constellation.h
swh:1:cnt:0003a435ef1fa4c49e8f07fb15a54f9c1855911e,a9dbc3af296444a63d3982186539295280254a07,5240,a9,print_lsas.cc,tools/print_lsas.cc
swh:1:cnt:0003a437753e78bb23b689fb88b052242167ae33,146d2050a0d07692cadc461539f0f0466935e92d,183,14,Base.c,cfixctl/Base.c
swh:1:cnt:0003a451157ed5af4f98c70cb6c530afb4ddddbc,5bb81077d064bb8b04d48c48ce38919c8037ae26,9907,5b,RtSceneRenderer.cpp,Raytracing/RtSceneRenderer.cpp
swh:1:cnt:0003a4a833241039cf9c471f32a9905a7dbec56c,4e01f1b613e8eff31c48b4eb557786281a9e3b57,42371,4e,q_shared.h,game/q_shared.h
swh:1:cnt:0003a4b1d3d8e0de16ad1b85df09ad0a70c1a47f,9da6a505e04288b174f91e4f54ef43a235da2c2f,83290,9d,es1370.c,sound/es1370.c
swh:1:cnt:0003a5059eb7a1774f18c3b8fa6ba41c6ec051a9,280f093ca679a042b4dd04982d09b88153621ea8,5964,28,NdbSqlUtil.hpp,util/NdbSqlUtil.hpp
swh:1:cnt:0003a526b49b16a706e72f0abf818dd18636f318,c2ded0f0858fac77a1fcd811dbdf0a07a8937bf9,62955,c2,journal.c,ocfs2/journal.c
swh:1:cnt:0003a526f7b458f50db79077a16c3b6e2de1e696,1459f8405665c853280a90e2463948cb83a0a114,46331,14,macTrace.c,src/macTrace.c
