item,rank,stars,forks,language,repo_url,repo_size (MiB),blob_objects,avg_blob_size (KiB),description,repo_name,last_commit,cum_sum
Python,16,43891,2079,Python,https://github.com/minimaxir/big-list-of-naughty-strings,4.43,270.0,16.794263599537036,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,big-list-of-naughty-strings,db33ec7b1d5d9616a88c76394b7d0897bd0b97eb,7308.810000000001
Python,17,42427,11938,Python,https://github.com/deepfakes/faceswap,449.64,4620.0,99.66063523065476,Deepfakes Software For All,faceswap,f1e3339fbee89e2881001a28112de9299b21e8e1,7758.450000000002
Python,18,41792,11204,Python,https://github.com/swisskyrepo/PayloadsAllTheThings,53.47,2360.0,23.19903874801377,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,PayloadsAllTheThings,ecca4ec5e45e86697c7d98f582848147bc278aab,7811.920000000002
Python,19,40101,1375,Python,https://github.com/Textualize/rich,160.71,7009.0,23.479453035828936,Rich is a Python library for rich text and beautiful formatting in the terminal.,rich,84e628655a2981ee90413ca3f35001ec3954161d,7972.630000000002
Python,20,37046,6777,Python,https://github.com/CorentinJ/Real-Time-Voice-Cloning,447.55,1562.0,293.4029933328665,Clone a voice in 5 seconds to generate arbitrary speech in real-time,Real-Time-Voice-Cloning,98d0ca4d4d140a4bb6bc7d54c84b1915a79041d5,8420.180000000002
Python,21,36309,4268,Python,https://github.com/sherlock-project/sherlock,87.68,2158.0,41.607495185067194,🔎 Hunt down social media accounts by username across social networks,sherlock,5c479b5ab0d18ee9f4d33c192d43167cf3839ab1,8507.860000000002
Python,22,36051,6651,Python,https://github.com/commaai/openpilot,1118.87,23269.0,49.237950916791114,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for over 200 supported car makes and models.,openpilot,754b44e7ceb2b6b029cf511b821f4328b90364f9,9626.730000000003
Python,23,35696,4836,Python,https://github.com/isocpp/CppCoreGuidelines,1095.8,1937.0,579.2962982382551,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",CppCoreGuidelines,81818737538dd62376ab68c03fb0f17d45231db5,10722.530000000002
Python,24,35504,8076,Python,https://github.com/d2l-ai/d2l-zh,386.81,10139.0,39.06612962631916,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被60个国家的400所大学用于教学。,d2l-zh,d5e7422ea2d5d8915358e94ff5fe99452a9dd44b,11109.340000000002
Python,26,35294,7948,Python,https://github.com/iperov/DeepFaceLab,1940.1,3102.0,640.4453011665861,DeepFaceLab is the leading software for creating deepfakes.,DeepFaceLab,cd83f6fedf1b6d196e23f6ef786287e132892b5d,13049.440000000002
